title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Little Heroes 2,2000,,G,90.0,Comedy,Henri Charr,"Mike Bellesfield, Brad Sergi, Asante Jones, Thomas Garner"
Dumped,2000,,R,82.0,"Drama, Romance, Comedy",Oliver Robins,"Seth Peterson, David Robinson, Dana Barron, Amy Loubalu"
The Brainiacs.com,2000,,G,101.0,"Family, Comedy",Blair Treu,"Michael Angarano, Kevin Kilner, Vanessa Zima, Kevin Jamal Woods"
Byron Bay,2000,,,,"Documentary, Comedy",Zhenya Welyczko,"Emma Gingell, Naomi Boyd, Claire Henderson, Brendan Hill"
Merlin: The Return,2000,,Not Rated,90.0,"Family, Fantasy, Adventure",Paul Matthews,"Patrick Bergin, Rik Mayall, Adrian Paul, Craig Sheffer"
The Calling,2000,,R,89.0,"Horror, Thriller",Richard Caesar,"Laura Harris, Francis Magee, Richard Lintern, Alex Roe"
Stubble Trouble,2000,,,4.0,"Short, Comedy, Animation",Joseph E. Merideth,
Le prince du Pacifique,2000,,,90.0,"Adventure, Comedy",Alain Corneau,"Thierry Lhermitte, François Berléand, Patrick Timsit, Marie Trintignant"
The Gift,2000,62.0,R,111.0,"Horror, Drama, Fantasy",Sam Raimi,"Keanu Reeves, Katie Holmes, Giovanni Ribisi, Cate Blanchett"
Something Between Us,2000,,,79.0,"Romance, Comedy",George Thomas Jr.,"Louisa Elder, Meg Kannin, Shawn Douglass, George Thomas Jr."
Thirteen Days,2000,67.0,PG-13,145.0,"Drama, Thriller, History",Roger Donaldson,"Bruce Greenwood, Kevin Costner, Drake Cook, Shawn Driscoll"
Radical Jack,2000,,R,95.0,"Action, Adventure",James Allen Bradley,"Billy Ray Cyrus, Dedee Pfeiffer, Noah Blake, ""George Buck Flower"""
Crash and Byrnes,2000,,,92.0,"Action, Comedy",Jon Hess,"Wolf Larson, Sandra Lindquist, Greg Ellis, Joanna Pacula"
The Magic Pudding,2000,,G,80.0,"Family, Musical, Animation",Karl Zwicky,"Geoffrey Rush, Sam Neill, John Cleese, Hugo Weaving"
Nutbag,2000,,Unrated,80.0,Horror,Nick Palumbo,"Renee Baio, Jenesses Kenney, Sally Graham, Mack Hail"
Air Bud 3,2000,,G,83.0,"Family, Drama, Comedy",Bill Bannerman,"Dale Midkiff, Kevin Zegers, Caitlin Wachs, David Glyn-Jones"
Pushing the Envelope,2000,,,75.0,"Drama, Thriller",Dorian Ramírez,"Jeff Britt, Craig McGonagill, Tom Breeding, Paula Rester"
Dungeons & Dragons,2000,14.0,PG-13,107.0,"Action, Fantasy, Adventure",Courtney Solomon,"Justin Whalin, Bruce Payne, Zoe McLellan, Jeremy Irons"
G-Men from Hell,2000,,PG-13,98.0,"Action, Adventure, Comedy",Christopher Coppola,"Bobcat Goldthwait, Barry Newman, William Forsythe, Tate Donovan"
Christie Malry's Own Double-Entry,2000,,,89.0,"Drama, Thriller",Paul Tickell,"Kate Ashfield, Mattia Sbragia, Neil Stuke, Nick Moran"
Meat Market,2000,,Unrated,90.0,"Action, Horror, Comedy",Brian Clement,"Teresa Simon, Bettina May, Alison Therriault, Paul Pedrosa"
The Martini Shot,2000,,,,Comedy,David Fierro,"Mathias Blaze, Juliana Nichols, David Fierro, Jesse Denham"
Traffic,2000,86.0,R,147.0,"Drama, Crime, Thriller",Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas"
El funeral de los dedos,2000,,,7.0,"Short, Drama",David Josué Delgado,"Roberto Estrada, Dulce Gutiérrez, Diana Danés, Carlos Acosta"
Nunca asistas a este tipo de fiestas,2000,,,70.0,"Horror, Comedy",Pablo Parés,"Walter Cornás, Juani Conserva, Berta Muñiz, Paz Cogorno"
H.R. Pukenshette,2000,,,10.0,"Short, Comedy",Steve Herold,"Sabrina Gennarino, Joe McClean, Kenny Titone, Kevin Kolack"
A Good Baby,2000,74.0,Not Rated,87.0,Drama,Katherine Dieckmann,"Henry Thomas, Cara Seymour, David Strathairn, Danny Nelson"
Life's a Butch!,2000,,,14.0,"Short, Comedy",Rosser Goodman,"Laurie Okin, Kim Posnett"
Crazy Watto,2000,,,2.0,"Short, Sci, Fi, Comedy",John E. Hudgens,Sandy Clark
Arruso,2000,,,18.0,"Short, Documentary",Daniele Ciprì,"Fortunato Cirrincione, Pier Paolo Pasolini, Gregorio Napoli, Franco Maresco"
